mandt,matnr,werks,lgort,pstat,lvorm,lfgja,lfmon,sperr,labst,umlme,insme,einme,speme,retme,vmlab,vmuml,vmins,vmein,vmspe,vmret,kzill,kzilq,kzile,kzils,kzvll,kzvlq,kzvle,kzvls,diskz,lsobs,lminb,lbstf,herkl,exppg,exver,lgpbe,klabs,kinsm,keinm,kspem,dlinl,prctl,ersda,vklab,vkuml,lwmkb,bskrf,mdrue,mdjin,fsh_salloc_qty_s,operation_flag,is_deleted,recordstamp
050,000000000000000021,0001,0001,D,,1998,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-02,,,,,,1998,,I,False,2022-03-02 13:55:13.263278+00:00
050,000000000000000021,0001,0001,D,,1998,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-02,,,,,,1998,,U,False,2022-03-02 14:14:18.804832+00:00
100,000000000000000021,0001,0001,D,,1998,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-02,,,,,,1998,,I,False,2022-04-21 14:55:42.161038+00:00
200,HT-1140,3750,0001,,,2021,03,,7326.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-31,,,,,,2015,,I,False,2021-03-31 03:14:48+00:00
050,C0000080,1000,0010,D,,2022,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-02,,,,,,2022,,I,False,2022-03-02 12:50:31.852787+00:00
050,C0000081,1000,0010,D,,2022,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-02,,,,,,2022,,I,False,2022-03-02 12:55:14.661177+00:00
050,C0000079,1000,0010,D,,2022,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-02,,,,,,2022,,I,False,2022-03-02 11:30:36.954531+00:00
050,C0000082,1000,0010,D,,2022,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03,,,,,,2022,,I,False,2022-03-03 13:42:23.308436+00:00
050,C0000078,1000,0010,DL,,2022,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-02,,,,,,2022,,I,False,2022-03-02 11:29:05.391134+00:00
050,000000000000000004,1000,0010,DL,,2022,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-04,,,,,,,,L,False,2022-01-31 20:42:48.633816+00:00
